"ID","Gemeinde_de","Tabelle_de","Staerkste_Partei"
5499,"Senarclens VD","Resultat liegt noch nicht vor.","no_data"
5501,"Sullens VD","tab_h$tr£$td£SVP$/td£tab_r140tab_r2#547d34tab_r3$td£$b£26.9%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£FDP$/td£tab_r140tab_r2#6268AFtab_r3$td£$b£26.8%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£SP$/td£tab_r129tab_r2#ea546ftab_r3$td£$b£19.6%$/b£$/td£§+6.2$/td£$/tr£$tr£$td£Grüne$/td£tab_r114tab_r2#26b300tab_r3$td£$b£9.2%$/b£$/td£§-5.9$/td£$/tr£$tr£$td£GLP$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.9%$/b£$/td£§-6.7$/td£$/tr£$tr£$td£Mitte$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.1%$/b£$/td£§+3.3$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£295$/b£$br£Wahlbeteiligung: $b£42.1%$/b£ (+1.3%)","SVP"
5503,"Vufflens-la-Ville VD","tab_h$tr£$td£SP$/td£tab_r137tab_r2#ea546ftab_r3$td£$b£24.8%$/b£$/td£§+6.7$/td£$/tr£$tr£$td£FDP$/td£tab_r131tab_r2#6268AFtab_r3$td£$b£21.0%$/b£$/td£§-2.8$/td£$/tr£$tr£$td£SVP$/td£tab_r128tab_r2#547d34tab_r3$td£$b£18.4%$/b£$/td£§+3.5$/td£$/tr£$tr£$td£Grüne$/td£tab_r125tab_r2#26b300tab_r3$td£$b£16.5%$/b£$/td£§-6.8$/td£$/tr£$tr£$td£GLP$/td£tab_r114tab_r2#cbd401tab_r3$td£$b£9.6%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£Mitte$/td£tab_r17tab_r2#f39f5etab_r3$td£$b£4.8%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£PdA$/td£tab_r15tab_r2#792a8ftab_r3$td£$b£3.2%$/b£$/td£§-0.7$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£419$/b£$br£Wahlbeteiligung: $b£47.5%$/b£ (-0.3%)","SP"
5511,"Assens VD","tab_h$tr£$td£SVP$/td£tab_r148tab_r2#547d34tab_r3$td£$b£32.2%$/b£$/td£§+6.1$/td£$/tr£$tr£$td£FDP$/td£tab_r139tab_r2#6268AFtab_r3$td£$b£25.8%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£SP$/td£tab_r124tab_r2#ea546ftab_r3$td£$b£16.2%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£GLP$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£8.3%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.6%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£Grüne$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.2%$/b£$/td£§-4.3$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£524$/b£$br£Wahlbeteiligung: $b£48.1%$/b£ (+2.2%)","SVP"
5512,"Bercher VD","tab_h$tr£$td£FDP$/td£tab_r135tab_r2#6268AFtab_r3$td£$b£23.7%$/b£$/td£§-3.4$/td£$/tr£$tr£$td£SP$/td£tab_r135tab_r2#ea546ftab_r3$td£$b£23.2%$/b£$/td£§+5.9$/td£$/tr£$tr£$td£SVP$/td£tab_r130tab_r2#547d34tab_r3$td£$b£20.2%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£Grüne$/td£tab_r120tab_r2#26b300tab_r3$td£$b£13.6%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£GLP$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.1%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£Mitte$/td£tab_r19tab_r2#f39f5etab_r3$td£$b£6.1%$/b£$/td£§+2.8$/td£$/tr£$tr£$td£PdA$/td£tab_r15tab_r2#792a8ftab_r3$td£$b£3.3%$/b£$/td£§+0.4$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£373$/b£$br£Wahlbeteiligung: $b£46.6%$/b£ (+2.8%)","FDP"
5514,"Bottens VD","tab_h$tr£$td£SVP$/td£tab_r144tab_r2#547d34tab_r3$td£$b£29.2%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£FDP$/td£tab_r134tab_r2#6268AFtab_r3$td£$b£22.7%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£SP$/td£tab_r126tab_r2#ea546ftab_r3$td£$b£17.5%$/b£$/td£§+6.6$/td£$/tr£$tr£$td£Grüne$/td£tab_r118tab_r2#26b300tab_r3$td£$b£12.2%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£Mitte$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£7.8%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£GLP$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.4%$/b£$/td£§-3.0$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£353$/b£$br£Wahlbeteiligung: $b£43.3%$/b£ (+0.7%)","SVP"
5515,"Bretigny-sur-Morrens VD","tab_h$tr£$td£SP$/td£tab_r137tab_r2#ea546ftab_r3$td£$b£24.5%$/b£$/td£§+5.1$/td£$/tr£$tr£$td£FDP$/td£tab_r133tab_r2#6268AFtab_r3$td£$b£21.7%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£SVP$/td£tab_r131tab_r2#547d34tab_r3$td£$b£20.8%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£Grüne$/td£tab_r122tab_r2#26b300tab_r3$td£$b£14.5%$/b£$/td£§-6.5$/td£$/tr£$tr£$td£GLP$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£6.1%$/b£$/td£§-3.5$/td£$/tr£$tr£$td£Mitte$/td£tab_r17tab_r2#f39f5etab_r3$td£$b£4.5%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£weitere$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.8%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£PdA$/td£tab_r16tab_r2#792a8ftab_r3$td£$b£3.8%$/b£$/td£§-1.0$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£235$/b£$br£Wahlbeteiligung: $b£43.3%$/b£ (-3.7%)","SP"
5516,"Cugy VD","tab_h$tr£$td£SP$/td£tab_r143tab_r2#ea546ftab_r3$td£$b£28.9%$/b£$/td£§+7.1$/td£$/tr£$tr£$td£FDP$/td£tab_r136tab_r2#6268AFtab_r3$td£$b£24.3%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£SVP$/td£tab_r126tab_r2#547d34tab_r3$td£$b£17.4%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£Grüne$/td£tab_r120tab_r2#26b300tab_r3$td£$b£13.1%$/b£$/td£§-5.7$/td£$/tr£$tr£$td£GLP$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£8.0%$/b£$/td£§-0.6$/td£$/tr£$tr£$td£Mitte$/td£tab_r16tab_r2#f39f5etab_r3$td£$b£3.7%$/b£$/td£§+1.6$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£703$/b£$br£Wahlbeteiligung: $b£43.9%$/b£ (-2.6%)","SP"
5518,"Echallens VD","Resultat liegt noch nicht vor.","no_data"
5520,"Essertines-sur-Yverdon VD","tab_h$tr£$td£SVP$/td£tab_r149tab_r2#547d34tab_r3$td£$b£32.7%$/b£$/td£§+8.6$/td£$/tr£$tr£$td£FDP$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£19.7%$/b£$/td£§-3.5$/td£$/tr£$tr£$td£SP$/td£tab_r125tab_r2#ea546ftab_r3$td£$b£16.6%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£Grüne$/td£tab_r116tab_r2#26b300tab_r3$td£$b£10.7%$/b£$/td£§-8.2$/td£$/tr£$tr£$td£GLP$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£8.0%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£Mitte$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£7.7%$/b£$/td£§+4.5$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£276$/b£$br£Wahlbeteiligung: $b£40.1%$/b£ (-4.1%)","SVP"
5521,"Etagnières VD","tab_h$tr£$td£SP$/td£tab_r137tab_r2#ea546ftab_r3$td£$b£24.6%$/b£$/td£§+6.4$/td£$/tr£$tr£$td£FDP$/td£tab_r133tab_r2#6268AFtab_r3$td£$b£21.7%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£SVP$/td£tab_r129tab_r2#547d34tab_r3$td£$b£19.6%$/b£$/td£§+2.8$/td£$/tr£$tr£$td£Grüne$/td£tab_r121tab_r2#26b300tab_r3$td£$b£14.1%$/b£$/td£§-7.4$/td£$/tr£$tr£$td£GLP$/td£tab_r114tab_r2#cbd401tab_r3$td£$b£9.4%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£Mitte$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.6%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£PdA$/td£tab_r15tab_r2#792a8ftab_r3$td£$b£3.2%$/b£$/td£§-0.1$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£305$/b£$br£Wahlbeteiligung: $b£43.4%$/b£ (+4.0%)","SP"
5522,"Fey VD","tab_h$tr£$td£FDP$/td£tab_r141tab_r2#6268AFtab_r3$td£$b£27.0%$/b£$/td£§+3.3$/td£$/tr£$tr£$td£SVP$/td£tab_r135tab_r2#547d34tab_r3$td£$b£23.7%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£SP$/td£tab_r135tab_r2#ea546ftab_r3$td£$b£23.5%$/b£$/td£§+7.1$/td£$/tr£$tr£$td£Grüne$/td£tab_r114tab_r2#26b300tab_r3$td£$b£9.4%$/b£$/td£§-6.7$/td£$/tr£$tr£$td£GLP$/td£tab_r18tab_r2#cbd401tab_r3$td£$b£5.1%$/b£$/td£§-3.4$/td£$/tr£$tr£$td£PdA$/td£tab_r16tab_r2#792a8ftab_r3$td£$b£4.2%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£Mitte$/td£tab_r16tab_r2#f39f5etab_r3$td£$b£4.2%$/b£$/td£§+1.4$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£217$/b£$br£Wahlbeteiligung: $b£44.5%$/b£ (+3.8%)","FDP"
5523,"Froideville VD","tab_h$tr£$td£SVP$/td£tab_r147tab_r2#547d34tab_r3$td£$b£31.1%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£SP$/td£tab_r136tab_r2#ea546ftab_r3$td£$b£23.9%$/b£$/td£§+7.0$/td£$/tr£$tr£$td£FDP$/td£tab_r131tab_r2#6268AFtab_r3$td£$b£20.4%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£Grüne$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.5%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£GLP$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.3%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£Mitte$/td£tab_r17tab_r2#f39f5etab_r3$td£$b£4.4%$/b£$/td£§+1.8$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£722$/b£$br£Wahlbeteiligung: $b£44.9%$/b£ (-2.2%)","SVP"
5527,"Morrens VD","tab_h$tr£$td£SP$/td£tab_r139tab_r2#ea546ftab_r3$td£$b£25.8%$/b£$/td£§+6.8$/td£$/tr£$tr£$td£SVP$/td£tab_r135tab_r2#547d34tab_r3$td£$b£23.4%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£FDP$/td£tab_r128tab_r2#6268AFtab_r3$td£$b£18.5%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£Grüne$/td£tab_r119tab_r2#26b300tab_r3$td£$b£13.0%$/b£$/td£§-6.2$/td£$/tr£$tr£$td£GLP$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£7.7%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.2%$/b£$/td£§+4.0$/td£$/tr£$tr£$td£PdA$/td£tab_r15tab_r2#792a8ftab_r3$td£$b£3.5%$/b£$/td£§-0.4$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£301$/b£$br£Wahlbeteiligung: $b£42.2%$/b£ (-3.9%)","SP"
5529,"Oulens-sous-Echallens VD","tab_h$tr£$td£FDP$/td£tab_r147tab_r2#6268AFtab_r3$td£$b£31.4%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£SVP$/td£tab_r145tab_r2#547d34tab_r3$td£$b£30.1%$/b£$/td£§+5.1$/td£$/tr£$tr£$td£SP$/td£tab_r122tab_r2#ea546ftab_r3$td£$b£14.6%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.4%$/b£$/td£§-7.7$/td£$/tr£$tr£$td£GLP$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.6%$/b£$/td£§-4.2$/td£$/tr£$tr£$td£Mitte$/td£tab_r17tab_r2#f39f5etab_r3$td£$b£4.6%$/b£$/td£§+1.7$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£213$/b£$br£Wahlbeteiligung: $b£50.3%$/b£ (-1.3%)","FDP"
5530,"Pailly VD","tab_h$tr£$td£SVP$/td£tab_r163tab_r2#547d34tab_r3$td£$b£41.9%$/b£$/td£§+8.2$/td£$/tr£$tr£$td£FDP$/td£tab_r133tab_r2#6268AFtab_r3$td£$b£22.3%$/b£$/td£§-2.4$/td£$/tr£$tr£$td£SP$/td£tab_r117tab_r2#ea546ftab_r3$td£$b£11.2%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£Mitte$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£7.7%$/b£$/td£§+3.5$/td£$/tr£$tr£$td£Grüne$/td£tab_r19tab_r2#26b300tab_r3$td£$b£5.8%$/b£$/td£§-5.0$/td£$/tr£$tr£$td£GLP$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£4.2%$/b£$/td£§-5.4$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£178$/b£$br£Wahlbeteiligung: $b£47.0%$/b£ (+2.2%)","SVP"
5531,"Penthéréaz VD","tab_h$tr£$td£FDP$/td£tab_r142tab_r2#6268AFtab_r3$td£$b£28.3%$/b£$/td£§-3.7$/td£$/tr£$tr£$td£SP$/td£tab_r137tab_r2#ea546ftab_r3$td£$b£24.9%$/b£$/td£§+10.8$/td£$/tr£$tr£$td£SVP$/td£tab_r133tab_r2#547d34tab_r3$td£$b£21.7%$/b£$/td£§+5.6$/td£$/tr£$tr£$td£GLP$/td£tab_r118tab_r2#cbd401tab_r3$td£$b£11.8%$/b£$/td£§-3.0$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.5%$/b£$/td£§-7.3$/td£$/tr£$tr£$td£Mitte$/td£tab_r15tab_r2#f39f5etab_r3$td£$b£3.0%$/b£$/td£§+0.2$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£145$/b£$br£Wahlbeteiligung: $b£46.6%$/b£ (-2.7%)","FDP"
5533,"Poliez-Pittet VD","tab_h$tr£$td£FDP$/td£tab_r147tab_r2#6268AFtab_r3$td£$b£31.6%$/b£$/td£§+8.3$/td£$/tr£$tr£$td£SVP$/td£tab_r134tab_r2#547d34tab_r3$td£$b£22.9%$/b£$/td£§-2.8$/td£$/tr£$tr£$td£SP$/td£tab_r131tab_r2#ea546ftab_r3$td£$b£20.5%$/b£$/td£§+6.3$/td£$/tr£$tr£$td£Mitte$/td£tab_r117tab_r2#f39f5etab_r3$td£$b£11.3%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£GLP$/td£tab_r17tab_r2#cbd401tab_r3$td£$b£4.7%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£Grüne$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.6%$/b£$/td£§-8.3$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£212$/b£$br£Wahlbeteiligung: $b£39.4%$/b£ (-3.1%)","FDP"
5534,"Rueyres VD","tab_h$tr£$td£SVP$/td£tab_r165tab_r2#547d34tab_r3$td£$b£43.2%$/b£$/td£§+11.7$/td£$/tr£$tr£$td£FDP$/td£tab_r130tab_r2#6268AFtab_r3$td£$b£20.3%$/b£$/td£§-8.5$/td£$/tr£$tr£$td£SP$/td£tab_r122tab_r2#ea546ftab_r3$td£$b£14.5%$/b£$/td£§+4.3$/td£$/tr£$tr£$td£GLP$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.3%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£Grüne$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.2%$/b£$/td£§-8.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r15tab_r2#f39f5etab_r3$td£$b£3.2%$/b£$/td£§+1.5$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£114$/b£$br£Wahlbeteiligung: $b£51.5%$/b£ (-7.4%)","SVP"
5535,"Saint-Barthélemy VD","tab_h$tr£$td£SVP$/td£tab_r143tab_r2#547d34tab_r3$td£$b£28.6%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£SP$/td£tab_r133tab_r2#ea546ftab_r3$td£$b£22.2%$/b£$/td£§+9.1$/td£$/tr£$tr£$td£FDP$/td£tab_r131tab_r2#6268AFtab_r3$td£$b£20.9%$/b£$/td£§+4.5$/td£$/tr£$tr£$td£Mitte$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£8.2%$/b£$/td£§-5.8$/td£$/tr£$tr£$td£GLP$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£8.1%$/b£$/td£§+0.9$/td£$/tr£$tr£$td£Grüne$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.8%$/b£$/td£§-4.8$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£216$/b£$br£Wahlbeteiligung: $b£43.0%$/b£ (+3.4%)","SVP"
5537,"Villars-le-Terroir VD","tab_h$tr£$td£SVP$/td£tab_r147tab_r2#547d34tab_r3$td£$b£31.4%$/b£$/td£§+4.7$/td£$/tr£$tr£$td£FDP$/td£tab_r129tab_r2#6268AFtab_r3$td£$b£19.4%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£SP$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.5%$/b£$/td£§+4.7$/td£$/tr£$tr£$td£Mitte$/td£tab_r115tab_r2#f39f5etab_r3$td£$b£10.0%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£Grüne$/td£tab_r115tab_r2#26b300tab_r3$td£$b£9.8%$/b£$/td£§-8.2$/td£$/tr£$tr£$td£GLP$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.6%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£PdA$/td£tab_r16tab_r2#792a8ftab_r3$td£$b£3.9%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£361$/b£$br£Wahlbeteiligung: $b£43.3%$/b£ (+0.8%)","SVP"
5539,"Vuarrens VD","tab_h$tr£$td£SVP$/td£tab_r156tab_r2#547d34tab_r3$td£$b£37.2%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£FDP$/td£tab_r132tab_r2#6268AFtab_r3$td£$b£21.2%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£SP$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.6%$/b£$/td£§+3.3$/td£$/tr£$tr£$td£GLP$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£7.7%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£Grüne$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.3%$/b£$/td£§-5.4$/td£$/tr£$tr£$td£Mitte$/td£tab_r16tab_r2#f39f5etab_r3$td£$b£3.9%$/b£$/td£§+2.7$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£283$/b£$br£Wahlbeteiligung: $b£44.0%$/b£ (+3.4%)","SVP"
5540,"Montilliez VD","Resultat liegt noch nicht vor.","no_data"
5541,"Goumoëns VD","tab_h$tr£$td£SVP$/td£tab_r147tab_r2#547d34tab_r3$td£$b£31.5%$/b£$/td£§+3.5$/td£$/tr£$tr£$td£FDP$/td£tab_r132tab_r2#6268AFtab_r3$td£$b£21.3%$/b£$/td£§-4.6$/td£$/tr£$tr£$td£SP$/td£tab_r124tab_r2#ea546ftab_r3$td£$b£16.3%$/b£$/td£§+4.0$/td£$/tr£$tr£$td£Grüne$/td£tab_r119tab_r2#26b300tab_r3$td£$b£12.4%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£GLP$/td£tab_r114tab_r2#cbd401tab_r3$td£$b£9.4%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£Mitte$/td£tab_r17tab_r2#f39f5etab_r3$td£$b£4.8%$/b£$/td£§+1.6$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£363$/b£$br£Wahlbeteiligung: $b£48.1%$/b£ (+1.5%)","SVP"
5551,"Bonvillars VD","tab_h$tr£$td£SVP$/td£tab_r139tab_r2#547d34tab_r3$td£$b£26.2%$/b£$/td£§-2.8$/td£$/tr£$tr£$td£FDP$/td£tab_r138tab_r2#6268AFtab_r3$td£$b£25.5%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£SP$/td£tab_r131tab_r2#ea546ftab_r3$td£$b£20.9%$/b£$/td£§+7.4$/td£$/tr£$tr£$td£Grüne$/td£tab_r118tab_r2#26b300tab_r3$td£$b£11.9%$/b£$/td£§-7.1$/td£$/tr£$tr£$td£GLP$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£6.1%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£Mitte$/td£tab_r16tab_r2#f39f5etab_r3$td£$b£4.3%$/b£$/td£§+2.3$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£188$/b£$br£Wahlbeteiligung: $b£50.7%$/b£ (+1.9%)","SVP"
5552,"Bullet VD","tab_h$tr£$td£SVP$/td£tab_r157tab_r2#547d34tab_r3$td£$b£37.9%$/b£$/td£§+2.5$/td£$/tr£$tr£$td£SP$/td£tab_r134tab_r2#ea546ftab_r3$td£$b£23.0%$/b£$/td£§+5.0$/td£$/tr£$tr£$td£FDP$/td£tab_r131tab_r2#6268AFtab_r3$td£$b£20.8%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£Grüne$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.3%$/b£$/td£§-8.8$/td£$/tr£$tr£$td£Mitte$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.3%$/b£$/td£§+4.8$/td£$/tr£$tr£$td£GLP$/td£tab_r15tab_r2#cbd401tab_r3$td£$b£3.2%$/b£$/td£§-2.7$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£285$/b£$br£Wahlbeteiligung: $b£56.5%$/b£ (+6.9%)","SVP"
5553,"Champagne VD","Resultat liegt noch nicht vor.","no_data"
5554,"Concise VD","Resultat liegt noch nicht vor.","no_data"
5555,"Corcelles-près-Concise VD","tab_h$tr£$td£SP$/td£tab_r144tab_r2#ea546ftab_r3$td£$b£29.5%$/b£$/td£§+11.6$/td£$/tr£$tr£$td£FDP$/td£tab_r135tab_r2#6268AFtab_r3$td£$b£23.0%$/b£$/td£§+5.6$/td£$/tr£$tr£$td£SVP$/td£tab_r128tab_r2#547d34tab_r3$td£$b£18.5%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£GLP$/td£tab_r115tab_r2#cbd401tab_r3$td£$b£10.0%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£Grüne$/td£tab_r113tab_r2#26b300tab_r3$td£$b£9.0%$/b£$/td£§-11.7$/td£$/tr£$tr£$td£Mitte$/td£tab_r16tab_r2#f39f5etab_r3$td£$b£3.9%$/b£$/td£§+2.5$/td£$/tr£$tr£$td£weitere$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.8%$/b£$/td£§-3.2$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£122$/b£$br£Wahlbeteiligung: $b£42.7%$/b£ (-3.5%)","SP"
5556,"Fiez VD","tab_h$tr£$td£SP$/td£tab_r141tab_r2#ea546ftab_r3$td£$b£27.1%$/b£$/td£§+6.9$/td£$/tr£$tr£$td£FDP$/td£tab_r134tab_r2#6268AFtab_r3$td£$b£22.8%$/b£$/td£§+3.2$/td£$/tr£$tr£$td£SVP$/td£tab_r123tab_r2#547d34tab_r3$td£$b£15.5%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£Grüne$/td£tab_r119tab_r2#26b300tab_r3$td£$b£12.6%$/b£$/td£§-10.1$/td£$/tr£$tr£$td£GLP$/td£tab_r112tab_r2#cbd401tab_r3$td£$b£8.2%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.5%$/b£$/td£§+4.7$/td£$/tr£$tr£$td£EVP$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£3.8%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£PdA$/td£tab_r15tab_r2#792a8ftab_r3$td£$b£3.5%$/b£$/td£§+1.6$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£162$/b£$br£Wahlbeteiligung: $b£53.1%$/b£ (+6.8%)","SP"
5557,"Fontaines-sur-Grandson VD","tab_h$tr£$td£SVP$/td£tab_r159tab_r2#547d34tab_r3$td£$b£39.5%$/b£$/td£§+10.5$/td£$/tr£$tr£$td£Grüne$/td£tab_r130tab_r2#26b300tab_r3$td£$b£20.1%$/b£$/td£§-11.2$/td£$/tr£$tr£$td£SP$/td£tab_r126tab_r2#ea546ftab_r3$td£$b£17.4%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£FDP$/td£tab_r118tab_r2#6268AFtab_r3$td£$b£12.1%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£GLP$/td£tab_r16tab_r2#cbd401tab_r3$td£$b£3.7%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£PdA$/td£tab_r15tab_r2#792a8ftab_r3$td£$b£3.4%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£Mitte$/td£tab_r15tab_r2#f39f5etab_r3$td£$b£3.2%$/b£$/td£§+2.0$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£61$/b£$br£Wahlbeteiligung: $b£42.2%$/b£ (+3.3%)","SVP"
5559,"Giez VD","tab_h$tr£$td£FDP$/td£tab_r134tab_r2#6268AFtab_r3$td£$b£22.5%$/b£$/td£§-2.0$/td£$/tr£$tr£$td£SVP$/td£tab_r133tab_r2#547d34tab_r3$td£$b£21.9%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£SP$/td£tab_r127tab_r2#ea546ftab_r3$td£$b£18.0%$/b£$/td£§-2.6$/td£$/tr£$tr£$td£Grüne$/td£tab_r115tab_r2#26b300tab_r3$td£$b£10.0%$/b£$/td£§-12.0$/td£$/tr£$tr£$td£GLP$/td£tab_r115tab_r2#cbd401tab_r3$td£$b£10.0%$/b£$/td£§+2.1$/td£$/tr£$tr£$td£Mitte$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.5%$/b£$/td£§+7.2$/td£$/tr£$tr£$td£PdA$/td£tab_r17tab_r2#792a8ftab_r3$td£$b£5.0%$/b£$/td£§+4.9$/td£$/tr£$/table£$br£Gültige Wahlzettel: $b£140$/b£$br£Wahlbeteiligung: $b£44.9%$/b£ (-1.1%)","FDP"
