"ID","Gemeinde_de","Text_de","Staerkste_Partei"
6432,"La BréviNE","Die <b>FDP</b> erhöht ihren Stimmenanteil in La Brévine um +18,8 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 40,5 Prozent der Wählerstimmen.<br><br>Trotz einem Minus von -17,9 Prozentpunkten gegenüber den Wahlen 2019 belegt die <b>SVP</b> immer noch den zweiten Platz. Dies dank eines Wähleranteils von 30,8 Prozent.<br><br>Der dritte Platz geht an die <b>PdA</b>. Die Partei erreicht 9,2 Prozent der Stimmen (Veränderung von -0,8 Prozentpunkten gegenüber 2019).","FDP"
6433,"Brot-Plamboz NE","Die Wählerinnen und Wähler von Brot-Plamboz stimmen am meisten für die <b>FDP</b> (123 Stimmen), gefolgt von der <b>SVP</b> (117 Stimmen) und der <b>PdA</b> (39 Stimmen).<br><br>","FDP"
6434,"Le Cerneux-Péquignot NE","Die <b>FDP</b> erhöht ihren Stimmenanteil in Le Cerneux-Péquignot um +10,8 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 40,6 Prozent der Wählerstimmen.<br><br>Mit einer markanten Verbesserung um +6,8 Prozentpunkte ist die <b>PdA</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 17,8 Prozent.<br><br>Die <b>SVP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 16,1 Prozent der Stimmen und damit -16,3 Prozentpunkte weniger als vor vier Jahren.","FDP"
6435,"La Chaux-du-Milieu NE","In La Chaux-du-Milieu steht die <b>PdA</b> mit 164 Stimmen an erster Stelle. Dahinter folgen die <b>FDP</b> mit 150 Stimmen und die <b>Grünen</b> mit 133 Stimmen.<br><br>","PdA"
6436,"Le Locle NE","Die <b>PdA</b> kann ihre Position als dominierende politische Kraft in Le Locle beibehalten, mit einem Wähleranteil von 33,3 Prozent (+1,1 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>FDP</b> mit 18,2 Prozent (-1,4 Prozentpunkte gegenüber 2019).<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 16,4 Prozent. Das sind +8,4 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","PdA"
6437,"Les Ponts-de-Martel NE","Mit einem grossen Sprung von +6,6 Prozentpunkten ist die <b>FDP</b> neu die stärkste Partei in Les Ponts-de-Martel. Die Partei erhält 29,7 Prozent der Wählerstimmen.<br><br>Die <b>SVP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 27,8 Prozent (-1,8 Prozentpunkte).<br><br>Mit einem deutlichen Anstieg von +7,2 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei zwölf Prozent.","FDP"
6451,"Cornaux NE","In Cornaux bleibt die <b>FDP</b> die stimmenstärkste Partei. Die Partei holt 28,3 Prozent aller Stimmen (-2,2 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>SP</b> mit 19,1 Prozent (-1,4 Prozentpunkte gegenüber 2019).<br><br>Die <b>SVP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 18,3 Prozent der Stimmen und damit -11,9 Prozentpunkte weniger als vor vier Jahren.","FDP"
6452,"Cressier NE","In Cressier NE verliert die <b>FDP</b> zwar deutlich an Stimmen. Die Partei bleibt dennoch die stärkste Kraft und kommt neu auf einen Wähleranteil von 29,1 Prozent (-10,9 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +14,9 Prozentpunkte sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 19,9 Prozent.<br><br>Die <b>SP</b> verliert -7,2 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 14,2 Prozent nur noch auf dem dritten Platz landet.","FDP"
6453,"Enges NE","Die Stimmberechtigten der Gemeinde Enges geben am meisten Stimmen den <b>Grünen</b> (104 Stimmen). Dahinter folgen die <b>FDP</b> (86 Stimmen) und die <b>SP</b> (64 Stimmen).<br><br>Aussergewöhnlich ist: Die Gemeinde kann die höchste Wahlbeteiligung des ganzen Kantons verzeichnen: 52,1 Prozent.","Grüne"
6454,"Hauterive NE","In Hauterive NE bleibt die <b>FDP</b> die stimmenstärkste Partei. Die Partei holt 34,6 Prozent aller Stimmen (-1,4 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +10,6 Prozentpunkte sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 18,6 Prozent.<br><br>Die <b>SP</b> verliert -6,3 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 16,2 Prozent nur noch auf dem dritten Platz landet.","FDP"
6455,"Le Landeron NE","Die <b>FDP</b> kann ihre Position als dominierende politische Kraft in Le Landeron beibehalten, mit einem Wähleranteil von 31,6 Prozent (-2,2 Prozentpunkte).<br><br>Die <b>Grünen</b> steigern sich mit einem Plus von +11,1 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil beträgt neu 16,4 Prozent.<br><br>Die <b>SP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 14,2 Prozent der Stimmen und damit -6,6 Prozentpunkte weniger als vor vier Jahren.","FDP"
6456,"Lignières NE","Unverändert ist die <b>FDP</b> die stärkste Partei in Lignières mit 33,5 Prozent (-0,8 Prozentpunkte).<br><br>Mit einem Wählerstimmenanteil von 17,5 Prozent (+1,7 Prozentpunkte) ist die <b>SP</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 14,5 Prozent. Das sind +6,3 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","FDP"
6458,"Neuenburg NE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Neuenburg um +14,1 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 26,2 Prozent der Wählerstimmen.<br><br>Trotz einem Minus von -8,4 Prozentpunkten gegenüber den Wahlen 2019 belegt die <b>SP</b> immer noch den zweiten Platz. Dies dank eines Wähleranteils von 20,9 Prozent.<br><br>Die <b>FDP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 17,8 Prozent der Stimmen und damit -5 Prozentpunkte weniger als vor vier Jahren.","Grüne"
6459,"Saint-Blaise NE","In Saint-Blaise verliert die <b>FDP</b> zwar deutlich an Stimmen. Die Partei bleibt dennoch die stärkste Kraft und kommt neu auf einen Wähleranteil von 30,4 Prozent (-8,2 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +11,2 Prozentpunkte deutlich und weist neu einen Wähleranteil von 18,6 Prozent auf.<br><br>Die <b>SP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 17,1 Prozent der Stimmen und damit -8,4 Prozentpunkte weniger als vor vier Jahren.","FDP"
6461,"La TèNE","In La Tène ist neu die <b>FDP</b> die stärkste Partei mit 23,4 Prozent aller Stimmen. Vor vier Jahren lag die Partei noch auf Rang 2.<br><br>Einen markanten Verlust muss die <b>SP</b> hinnehmen: Die Partei verliert -8 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 19,4 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 18,9 Prozent, was einer Zunahme von +12,9 Prozentpunkten gegenüber der letzten Wahl entspricht.","FDP"
6485,"Valangin NE","Bei der Stimmenauszählung in Valangin gibt es für die <b>SP</b> 164 und für die <b>FDP</b> 102 Stimmen. Die <b>Grünen</b> kommen auf 71 Stimmen.<br><br>","SP"
6487,"Val-de-Ruz NE","Ganz knapp bleibt die <b>FDP</b> die grösste Partei in Val-de-Ruz. Die Partei holt 24,6 Prozent der Stimmen und hält damit ihren Vorsprung, mit 2,8 Prozentpunkten, vor den <b>Grünen</b>. Diese müssen sich mit 21,9 Prozent und Platz zwei begnügen. Die Veränderungen gegenüber 2019: <b>FDP</b>: -2,6 Prozentpunkte; Grüne: +13,5 Prozentpunkte.<br><br>Die <b>SVP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 15,1 Prozent der Stimmen und damit -8,4 Prozentpunkte weniger als vor vier Jahren.","FDP"
6504,"La Côte-aux-Fées NE","Alles bleibt beim Alten in La Côte-aux-Fées: Die drei stärksten Parteien verteidigen ihre Spitzenplätze in unveränderter Reihenfolge: Die <b>SVP</b> geht mit 37,4 Prozent (-1,3 Prozentpunkte) wieder als stärkste Kraft aus den Nationalratswahlen. Zweitstärkste Partei ist die <b>FDP</b> (25,1 Prozent, -0,3 Prozentpunkte), drittstärkste die <b>SP</b> (10,2 Prozent, -4,8 Prozentpunkte).<br><br>","SVP"
6511,"Les Verrières NE","Mit einem grossen Sprung von +9,8 Prozentpunkten ist die <b>FDP</b> neu die stärkste Partei in Les Verrières. Die Partei erhält 36,9 Prozent der Wählerstimmen.<br><br>Einen markanten Verlust muss die <b>SVP</b> hinnehmen: Die Partei verliert -12,5 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 24 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Viele Wählerstimmen eingebüsst hat die drittplatzierte <b>SP</b>. Die Partei holt noch 12,6 Prozent, was einen Verlust von -8,8 Prozentpunkten bedeutet.<br><br>Nur wenige Gemeinden weisen eine tiefere Wahlbeteiligung auf als Les Verrières mit 23,2 Prozent. Sie gehört zu den zehn Gemeinden mit der tiefsten Wahlbeteiligung.","FDP"
6512,"Val-de-Travers NE","Die <b>FDP</b> erhöht ihren Stimmenanteil in Val-de-Travers um +6 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 26,1 Prozent der Wählerstimmen.<br><br>Einen markanten Verlust muss die <b>SVP</b> hinnehmen: Die Partei verliert -11,6 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 21,1 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Die <b>SP</b> verliert -6,8 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 17,1 Prozent nur noch auf dem dritten Platz landet.","FDP"
6601,"Aire-la-Ville GE","Eine Besonderheit gibt es in Aire-la-Ville: Die <b>FDP</b> und die <b>Grünen</b> sind genau gleich stark. Mit je 20,7 Prozent kommen beide Parteien auf den gleichen Wähleranteil.<br><br>Viele Wählerstimmen eingebüsst hat die drittplatzierte <b>SVP</b>. Die Partei holt noch 18,5 Prozent, was einen Verlust von -5,1 Prozentpunkten bedeutet.","FDP"
6602,"Anières GE","Nach wie vor ist die <b>FDP</b> in Anières unangefochten die grösste Partei, mit einem Wähleranteil von 36,9 Prozent (-2,6 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>Grünen</b>, ist beträchtlich - nämlich 20,4 Prozentpunkte. Die <b>Grünen</b> erreichen einen Wähleranteil von 16,6 Prozent (+8,9 Prozentpunkte). <br><br>Die <b>SVP</b> landet mit 15,9 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -2,3 Prozentpunkte).","FDP"
6603,"Avully GE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Avully um +13,2 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 27 Prozent der Wählerstimmen.<br><br>Einen markanten Verlust muss die <b>SP</b> hinnehmen: Die Partei verliert -6,3 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 18,3 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Der dritte Platz geht an die <b>SVP</b>. Die Partei erreicht 15,4 Prozent der Stimmen (Veränderung von -3,8 Prozentpunkten gegenüber 2019).","Grüne"
6604,"Avusy GE","Mit einem grossen Sprung von +12,6 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in Avusy. Die Partei erhält 25,3 Prozent der Wählerstimmen.<br><br>Die <b>FDP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 19 Prozent (-4 Prozentpunkte).<br><br>Auf dem dritten Platz landet die <b>Mitte</b> mit 17,3 Prozent der Stimmen. Das bedeutet eine Veränderung von -3,2 Prozentpunkten gegenüber 2019. ","Grüne"
6605,"Bardonnex GE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Bardonnex um +14,4 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 26,1 Prozent der Wählerstimmen.<br><br>Zweitstärkste Partei ist die <b>FDP</b> mit 19,2 Prozent (-3,5 Prozentpunkte gegenüber 2019).<br><br>Die <b>Mitte</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 16 Prozent der Stimmen und damit -9,6 Prozentpunkte weniger als vor vier Jahren.","Grüne"
6606,"Bellevue GE","Die <b>FDP</b> ist weiterhin die stärkste Kraft in Bellevue. Mit 24,3 Prozent Wähleranteil verweist die Partei die <b>Grünen</b> allerdings nur mit 1,6 Prozentpunkten Abstand auf den zweiten Platz. Die zweitstärkste Partei holt 22,7 Prozent. Die Veränderungen gegenüber 2019: <b>FDP</b>: -4,5 Prozentpunkte; Grüne: +10,7 Prozentpunkte.<br><br>Auf dem dritten Platz landet die <b>SVP</b> mit 16,7 Prozent der Stimmen. Das bedeutet eine Veränderung von -2,3 Prozentpunkten gegenüber 2019. ","FDP"
6607,"Bernex GE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Bernex um +11,5 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 24 Prozent der Wählerstimmen.<br><br>In der Gemeinde landet die <b>FDP</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 16,3 Prozent (-3,1 Prozentpunkte). <br><br>Der dritte Platz geht an die <b>Mitte</b>. Die Partei erreicht 14,8 Prozent der Stimmen (Veränderung von -3,8 Prozentpunkten gegenüber 2019).","Grüne"
6608,"CarouGE","Mit einem grossen Sprung von +16,7 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in CarouGE. Die Partei erhält 28,7 Prozent der Wählerstimmen.<br><br>Den zweiten Platz in CarouGE teilen sich zwei Parteien: Die <b>FDP</b> und die <b>SP</b> sind genau gleich stark. Mit je 14,7 Prozent kommen beide Parteien auf den gleichen Wähleranteil.<br><br>","Grüne"
6609,"Cartigny GE","Mit einem grossen Sprung von +11,3 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in Cartigny. Die Partei erhält 27 Prozent der Wählerstimmen.<br><br>Einen markanten Verlust muss die <b>FDP</b> hinnehmen: Die Partei verliert -5,4 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 23,3 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Den dritten Platz belegt die <b>SVP</b>. Die Partei erzielt einen Wähleranteil von 13,6 Prozent (Veränderung gegenüber 2019: -3 Prozentpunkte).","Grüne"
6610,"Céligny GE","Die <b>FDP</b> kann ihre Position als dominierende politische Kraft in Céligny beibehalten, mit einem Wähleranteil von 29,4 Prozent (-5,1 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +17,3 Prozentpunkte deutlich und weist neu einen Wähleranteil von 25,2 Prozent auf.<br><br>Mit einem Wähleranteil von 15,4 Prozent belegt die <b>SVP</b> den dritten Platz (Veränderung gegenüber 2019: +0,4 Prozentpunkte).","FDP"
6611,"Chancy GE","Mit einem grossen Sprung von +10,5 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in Chancy. Die Partei erhält 24,3 Prozent der Wählerstimmen.<br><br>Die <b>SVP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 19,4 Prozent (-0,7 Prozentpunkte).<br><br>Auf dem dritten Platz landet das <b>MCG</b> mit 10,8 Prozent der Stimmen. Das bedeutet eine Veränderung von -1,4 Prozentpunkten gegenüber 2019. ","Grüne"
6612,"Chêne-Bougeries GE","In Chêne-Bougeries bleibt die <b>FDP</b> die stimmenstärkste Partei. Die Partei holt 29,9 Prozent aller Stimmen (-4,6 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +10,4 Prozentpunkte deutlich und weist neu einen Wähleranteil von 20 Prozent auf.<br><br>Viele Wählerstimmen eingebüsst hat die drittplatzierte <b>SVP</b>. Die Partei holt noch 12,6 Prozent, was einen Verlust von -5 Prozentpunkten bedeutet.","FDP"
6613,"Chêne-Bourg GE","Mit einem grossen Sprung von +12,8 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in Chêne-Bourg. Die Partei erhält 26,6 Prozent der Wählerstimmen.<br><br>Die <b>FDP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 15,9 Prozent (-3,3 Prozentpunkte).<br><br>Viele Wählerstimmen eingebüsst hat die drittplatzierte <b>SP</b>. Die Partei holt noch 13,8 Prozent, was einen Verlust von -5,6 Prozentpunkten bedeutet.","Grüne"
6614,"Choulex GE","Die <b>FDP</b> ist weiterhin die stärkste Kraft in Choulex. Mit 24,9 Prozent Wähleranteil verweist die Partei die <b>Grünen</b> allerdings nur mit 1,3 Prozentpunkten Abstand auf den zweiten Platz. Die zweitstärkste Partei holt 23,7 Prozent. Die Veränderungen gegenüber 2019: <b>FDP</b>: -5,9 Prozentpunkte; Grüne: +11,5 Prozentpunkte.<br><br>Die <b>SVP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 18,3 Prozent (Veränderung gegenüber 2019: -2,3 Prozentpunkte).","FDP"
6615,"Collex-Bossy GE","Mit einem grossen Sprung von +15,5 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in Collex-Bossy. Die Partei erhält 24,6 Prozent der Wählerstimmen.<br><br>In der Gemeinde landet die <b>FDP</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 22,6 Prozent (-4 Prozentpunkte). <br><br>Viele Wählerstimmen eingebüsst hat die drittplatzierte <b>SVP</b>. Die Partei holt noch 12,4 Prozent, was einen Verlust von -7,3 Prozentpunkten bedeutet.","Grüne"
6616,"Collonge-Bellerive GE","Nach wie vor ist die <b>FDP</b> in Collonge-Bellerive unangefochten die grösste Partei, mit einem Wähleranteil von 36,6 Prozent (-4,5 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>SVP</b>, ist beträchtlich - nämlich 21,8 Prozentpunkte. Die <b>SVP</b> erreicht einen Wähleranteil von 14,8 Prozent (-3,7 Prozentpunkte). <br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 14,7 Prozent, was einer Zunahme von +7,6 Prozentpunkten gegenüber der letzten Wahl entspricht.","FDP"
6617,"Cologny GE","Mit deutlichem Abstand bleibt die <b>FDP</b> die grösste Partei in Cologny. Ihre Parteistärke beträgt 41,8 Prozent (-3,7 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>SVP</b>, ist gross: 26,7 Prozentpunkte. Die <b>SVP</b> holt 15,1 Prozent (-3,3 Prozentpunkte).<br><br>Mit einem deutlichen Anstieg von +8 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 13,4 Prozent.<br><br>Speziell: In keiner anderen Gemeinde des Kantons schneiden die <b>Grünen</b> schwächer ab (ohne Kleinstgemeinden).","FDP"
6618,"Confignon GE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Confignon um +12,6 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 25,7 Prozent der Wählerstimmen.<br><br>Die <b>FDP</b> belegt in der Gemeinde den zweiten Platz mit einem Wählerstimmenanteil von 19,3 Prozent (-1,9 Prozentpunkte).<br><br>Die <b>SP</b> verliert -6,3 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 12,2 Prozent nur noch auf dem dritten Platz landet.","Grüne"
6619,"Corsier GE","Keine Änderung an der Spitze in Corsier GE: Die <b>FDP</b> holt wie vor vier Jahren die meisten Stimmen (34,6 Prozent, -6,4 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +11,8 Prozentpunkte deutlich und weist neu einen Wähleranteil von 19,8 Prozent auf.<br><br>Mit einem Wähleranteil von 14,2 Prozent belegt die <b>SVP</b> den dritten Platz (Veränderung gegenüber 2019: -4,1 Prozentpunkte).","FDP"
6620,"Dardagny GE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Dardagny um +11,1 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 20,7 Prozent der Wählerstimmen.<br><br>Die <b>FDP</b> verliert mit einem Minus von -5,8 Prozentpunkten gegenüber den Wahlen 2019 sehr viele Wählerstimmen. Trotzdem liegt die Partei mit einem Wähleranteil von 19,3 Prozent noch auf dem zweiten Platz.<br><br>Die <b>SVP</b> landet mit 16 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -3,1 Prozentpunkte).","Grüne"
6621,"Genf GE","Mit einem grossen Sprung von +14,6 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in Genf. Die Partei erhält 26 Prozent der Wählerstimmen.<br><br>Trotz einem Minus von -5,9 Prozentpunkten gegenüber den Wahlen 2019 belegt die <b>SP</b> immer noch den zweiten Platz. Dies dank eines Wähleranteils von 17,9 Prozent.<br><br>Die <b>FDP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 15,1 Prozent (Veränderung gegenüber 2019: -2,4 Prozentpunkte).","Grüne"
6622,"Genthod GE","Die <b>FDP</b> behauptet ihre Position als vorherrschende Partei in Genthod. Die Partei verzeichnet einen Wähleranteil von 25,8 Prozent (-5,9 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +11,6 Prozentpunkte deutlich und weist neu einen Wähleranteil von 22,8 Prozent auf.<br><br>Der dritte Platz geht an die <b>SVP</b>. Die Partei erreicht 15,6 Prozent der Stimmen (Veränderung von -2,9 Prozentpunkten gegenüber 2019).","FDP"
6623,"Le Grand-Saconnex GE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Le Grand-Saconnex um +10,2 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 24,8 Prozent der Wählerstimmen.<br><br>Die <b>SP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 16,4 Prozent (-4,1 Prozentpunkte).<br><br>Den dritten Platz belegt die <b>SVP</b>. Die Partei erzielt einen Wähleranteil von 15,7 Prozent (Veränderung gegenüber 2019: -4,3 Prozentpunkte).","Grüne"
6624,"Gy GE","In Gy bleibt die <b>FDP</b> die stimmenstärkste Partei. Die Partei holt 19,3 Prozent aller Stimmen (-2,3 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b> mit 15 Prozent (+3,9 Prozentpunkte gegenüber 2019).<br><br>Die <b>SP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 12,6 Prozent (Veränderung gegenüber 2019: +1,3 Prozentpunkte).","FDP"
6625,"Hermance GE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Hermance um +18,6 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 25,8 Prozent der Wählerstimmen.<br><br>Auf dem zweiten Platz in der Gemeinde liegt die <b>FDP</b>. Die Partei erreicht einen Wählerstimmenanteil von 21,6 Prozent (-4,5 Prozentpunkte).<br><br>Die <b>SVP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 13 Prozent (Veränderung gegenüber 2019: -1,3 Prozentpunkte).<br><br>Besonders ist: Die <b>GLP</b> erreicht in der Gemeinde das höchste Resultat des gesamten Kantons (ohne Kleinstgemeinden).","Grüne"
6626,"Jussy GE","Keine Änderung an der Spitze in Jussy: Die <b>FDP</b> holt wie vor vier Jahren die meisten Stimmen (29,2 Prozent, -3,9 Prozentpunkte).<br><br>Die <b>SVP</b> verliert mit einem Minus von -7,2 Prozentpunkten gegenüber den Wahlen 2019 sehr viele Wählerstimmen. Trotzdem liegt die Partei mit einem Wähleranteil von 20,1 Prozent noch auf dem zweiten Platz.<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 19,2 Prozent. Das sind +8,2 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.<br><br>Besonders ist: Die <b>SVP</b> erreicht in der Gemeinde das höchste Resultat des gesamten Kantons (ohne Kleinstgemeinden).","FDP"
6627,"Laconnex GE","Eine Besonderheit gibt es in Laconnex: Die <b>Mitte</b> und die <b>Grünen</b> sind genau gleich stark. Mit je 23,3 Prozent kommen beide Parteien auf den gleichen Wähleranteil.<br><br>Der dritte Platz geht an die <b>FDP</b>. Die Partei erreicht 17,7 Prozent der Stimmen (Veränderung von +2,5 Prozentpunkten gegenüber 2019).<br><br>Besonders ist: Die <b>Mitte</b> erreicht in der Gemeinde das höchste Resultat des gesamten Kantons (ohne Kleinstgemeinden).","Mitte"
6628,"Lancy GE","Mit einem grossen Sprung von +13,6 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in Lancy. Die Partei erhält 23,9 Prozent der Wählerstimmen.<br><br>Zweitstärkste Partei ist die <b>SP</b> mit 17,2 Prozent (-3,7 Prozentpunkte gegenüber 2019).<br><br>Die <b>SVP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 13,6 Prozent der Stimmen und damit -5,2 Prozentpunkte weniger als vor vier Jahren.","Grüne"
6629,"Meinier GE","Mit einem grossen Sprung von +14,5 Prozentpunkten sind die <b>Grünen</b> neu die stärkste Partei in Meinier. Die Partei erhält 25 Prozent der Wählerstimmen.<br><br>Mit einem Wählerstimmenanteil von 20,2 Prozent (-1,6 Prozentpunkte) ist die <b>FDP</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Die <b>SVP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 17,7 Prozent (Veränderung gegenüber 2019: -4,1 Prozentpunkte).","Grüne"
6630,"Meyrin GE","Die <b>Grünen</b> erhöhen ihren Stimmenanteil in Meyrin um +9,9 Prozentpunkte deutlich und wird damit zur stärksten politischen Kraft. Am Ende holt die Partei 21,6 Prozent der Wählerstimmen.<br><br>Die <b>SVP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 17,4 Prozent (-4,5 Prozentpunkte).<br><br>Die <b>SP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 17 Prozent (Veränderung gegenüber 2019: -1,2 Prozentpunkte).","Grüne"
